iter	Passed	Remaining
0	142	142765
1	143	71619
2	144	47880
3	144	36005
4	145	28876
5	145	24147
6	146	20768
7	147	18230
8	147	16248
9	148	14662
10	148	13362
11	149	12277
12	149	11360
13	150	10573
14	150	9890
15	151	9295
16	151	8770
17	152	8305
18	152	7888
19	153	7512
20	153	7173
21	154	6879
22	155	6595
23	155	6334
24	156	6095
25	156	5873
26	157	5669
27	157	5481
28	158	5304
29	159	5141
30	159	4988
31	160	4842
32	160	4705
33	161	4576
34	161	4455
35	162	4340
36	162	4231
37	163	4128
38	163	4033
39	164	3941
40	164	3853
41	165	3769
42	165	3689
43	166	3612
44	166	3539
45	167	3469
46	167	3401
47	168	3337
48	168	3275
49	169	3216
50	169	3159
51	170	3105
52	170	3053
53	171	3003
54	171	2954
55	172	2908
56	173	2863
57	173	2819
58	174	2777
59	174	2737
60	175	2698
61	175	2660
62	176	2624
63	177	2588
64	177	2554
65	178	2521
66	178	2488
67	179	2453
68	179	2422
69	180	2392
70	180	2362
71	181	2333
72	181	2306
73	182	2279
74	182	2253
75	183	2228
76	183	2203
77	184	2178
78	184	2155
79	185	2131
80	185	2108
81	186	2086
82	186	2064
83	187	2044
84	187	2023
85	188	2003
86	188	1982
87	189	1963
88	190	1946
89	190	1927
90	191	1909
91	191	1891
92	192	1873
93	192	1856
94	193	1839
95	193	1823
96	194	1807
97	194	1791
98	195	1775
99	195	1760
100	196	1745
101	196	1729
102	196	1714
103	197	1700
104	197	1686
105	198	1672
106	198	1659
107	199	1646
108	199	1633
109	200	1621
110	200	1608
111	201	1596
112	201	1584
113	202	1572
114	202	1560
115	203	1548
116	203	1537
117	204	1526
118	204	1514
119	205	1504
120	205	1493
121	206	1483
122	206	1471
123	206	1461
124	207	1451
125	207	1441
126	208	1432
127	208	1421
128	209	1412
129	209	1403
130	210	1394
131	210	1385
132	211	1376
133	211	1367
134	212	1359
135	212	1350
136	213	1342
137	213	1333
138	214	1326
139	214	1318
140	215	1310
141	215	1302
142	216	1295
143	216	1287
144	217	1280
145	217	1273
146	218	1265
147	218	1258
148	219	1251
149	219	1244
150	220	1237
151	220	1230
152	221	1224
153	221	1217
154	222	1210
155	222	1204
156	223	1197
157	223	1191
158	224	1184
159	224	1178
160	224	1172
161	225	1166
162	226	1160
163	226	1154
164	226	1148
165	227	1143
166	228	1137
167	228	1131
168	229	1126
169	229	1121
170	230	1116
171	230	1110
172	231	1105
